date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:34	231/231	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202020%2011:07:33%20GMT	https://altsforyou.org/robots.txt		(from )
12:07:34	2143/2143	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2018:49:19%20GMT	https://altsforyou.org/	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/index.html	(from )
12:07:34	16384/16384	---M--	200	added ('OK')	image/png	etag:%224000-572c4d917b3a7%22	https://altsforyou.org/minecraft.png	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/minecraft.png	(from https://altsforyou.org/)
12:07:34	869/869	---M-Z	200	added ('OK')	text/css	etag:%22365-56daad67df480-gzip%22	https://altsforyou.org/css/style.css	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/css/style.css	(from https://altsforyou.org/)
12:07:34	24737/24737	---M-Z	200	added ('OK')	application/javascript	etag:%2260a1-5a618d8d7cac0-gzip%22	https://altsforyou.org/very/d140ouchebag.js	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/very/d140ouchebag.js	(from https://altsforyou.org/)
12:07:35	320/320	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20May%202020%2011:07:34%20GMT	https://altsforyou.org/spotify	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/spotify	(from https://altsforyou.org/)
12:07:35	2091/2091	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2018:53:46%20GMT	https://altsforyou.org/spotify/	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/spotify/index.html	(from https://altsforyou.org/)
12:07:35	321/321	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20May%202020%2011:07:34%20GMT	https://altsforyou.org/fortnite	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/fortnite	(from https://altsforyou.org/)
12:07:35	324/324	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20May%202020%2011:07:34%20GMT	https://altsforyou.org/apexlegends	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/apexlegends	(from https://altsforyou.org/)
12:07:36	2027/2027	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20May%202020%2018:57:58%20GMT	https://altsforyou.org/fortnite/	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/fortnite/index.html	(from https://altsforyou.org/)
12:07:36	2374/2374	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20May%202020%2020:05:11%20GMT	https://altsforyou.org/apexlegends/	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/apexlegends/index.html	(from https://altsforyou.org/)
12:07:36	11893/11893	---M--	200	added ('OK')	image/png	etag:%222e75-56a6f0b8912c0%22	https://altsforyou.org/spotify/spotify.png	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/spotify/spotify.png	(from https://altsforyou.org/spotify/)
12:07:36	1006/1006	---M-Z	200	added ('OK')	text/css	etag:%223ee-56a7362632000-gzip%22	https://altsforyou.org/spotify/css/style.css	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/spotify/css/style.css	(from https://altsforyou.org/spotify/)
12:07:36	1312/1312	---M-Z	200	added ('OK')	application/javascript	etag:%22520-5a618e8665600-gzip%22	https://altsforyou.org/spotify/very/d179ouchebag.js	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/spotify/very/d179ouchebag.js	(from https://altsforyou.org/spotify/)
12:07:37	40153/40153	---M--	200	added ('OK')	image/png	etag:%229cd9-56a6f0f59a2c0%22	https://altsforyou.org/fortnite/fortnut.png	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/fortnite/fortnut.png	(from https://altsforyou.org/fortnite/)
12:07:37	1006/1006	---M-Z	200	added ('OK')	text/css	etag:%223ee-56a7362fbb680-gzip%22	https://altsforyou.org/fortnite/css/style.css	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/fortnite/css/style.css	(from https://altsforyou.org/fortnite/)
12:07:37	4345/4345	---M-Z	200	added ('OK')	application/javascript	etag:%2210f9-5a618f10adc40-gzip%22	https://altsforyou.org/fortnite/very/d123ouchebag.js	C:/Users/Rshaw/OneDrive/Documents/fortnite%20alts/altsforyou.org/fortnite/very/d123ouchebag.js	(from https://altsforyou.org/fortnite/)
